german,english,status
der Abend,evening,red
alles,everything,red
antworten,answer,red
auch,also,red
auf,to,red
aus,from,red
die Aussage,statement,red
bisschen,a little,red
bitte,please,red
danke,thank you,red
dann,then,red
das,that,red
der,the,red
Deutsch,german,red
der Dialog,dialog,red
die,the,red
dir,you,red
du,you,red
"ein, eine","one, one",red
die Entschuldigung,apology,red
er,he,red
es,it,red
die Form,form,red
die Frage,question,red
fragen,ask,red
die Frau,woman,red
ganz,all,red
gehen,go,red
die Grammatik,grammar,red
gut,good,red
hallo,hello,red
heißen,are called,red
der Herr,gentleman,red
hören,hear,red
ich,I,red
Ihnen,you,red
ihr,her,red
im,in the,red
ja,yes,red
klar,clear,red
kommen,come,red
Der Kurs,course,red
Der Kursteilnehmer,course participant,red
Das Land,country,red
lesen,reading,red
Der Mann,man,red
"mein, meine","my, my",red
mit,with,red
morgen,tomorrow,red
Die Nacht,night,red
Der Name,name,red
nein,no,red
neu,new,red
nicht,not,red
oder,or,red
Die Person,person,red
richtig,correct,red
Der Satz,sentence,red
schreiben,write,red
sehr,very,red
sein,be,red
sie,she,red
Sie,they,red
so,like this,red
Die Sprache,language,red
sprechen,speak,red
supergut,super good,red
Der Tag,day,red
Tschüss,bye,red
und,and,red
was,what,red
welche,which,red
wer,who,red
Das Wiedersehen,reunion,red
wie,how,red
wissen,know,red
wo,where,red
woher,from where,red
das Wort,word,red
aber,but,red
Die Adresse,address,red
alt,old,red
anmelden,register,red
Die Anmeldung,registration,red
arbeiten,work,red
das Bild,picture,red
Der Bruder,brother,red
buchstabieren,spell,red
"dein, deine","yours, yours",red
einmal,once,red
Die Eltern /Pl.,parents /pl.,red
falsch,wrong,red
die Familie,family,red
der Familienname,family name,red
der Familienstand,marital status,red
das Formular,form,red
geschieden,divorced,red
die Geschwister /Pl.,siblings /pl.,red
haben,have,red
die Handynummer,cell phone number,red
die Hausnummer,house number,red
das Heimatland,home country,red
hier,here,red
"Ihr, Ihre","your, your",red
in,in,red
die Information,information,red
das Jahr,year,red
jetzt,now,red
"kein, keine","none, none",red
das Kind,child,red
der Kindergarten,kindergarten,red
der Kontakt,contact,red
leben,live,red
ledig,single,red
die E-Mail,e-mail,red
möchten,want,red
die Mutter,mother,red
nach,after,red
der Nachname,surname,red
noch,and,red
die Postleitzahl,zip code,red
die Schwester,sister,red
die Schwägerin,sister-in-law,red
die Schwiegertochter,daughter-in-law,red
der Schwiegervater,father-in-law,red
der Sohn,son,red
die Straße,street,red
die Telefonnummer,telephone number,red
die Tochter,daughter,red
über,about,red
der Vater,father,red
vergleichen,compare,red
verheiratet,married,red
verwitwet,widowed,red
"viel, viele","much, many",red
der Vorname,first name,red
vorstellen,introduce,red
"welcher, welche, welches","which, which, which",red
willkommen,welcome,red
wir,we,red
wohnen,live,red
der Wohnort,place of residence,red
die Zahl,number,red
zu,to,red
also,so,red
an,to,red
andere,others,red
benutzen,use,red
das Blatt,sheet,red
der Bleistift,pencil,red
das Buch,book,red
da,there,red
der Deutschkurs,german course,red
der Dienstag,tuesday,red
doch,but,red
Der Donnerstag,thursday,red
endlich,finally,red
erklären,explain,red
erzählen,tell,red
Das Familienfoto,family photo,red
Der Feiertag,holiday,red
Das Fenster,window,red
Das Foto,photo,red
fragen,ask,red
Der Freitag,friday,red
Der Freund,friend,red
für,for,red
